DPF/FAP filter,Kubikaža,Digitalna klima,Alarm,Vrsta enterijera,price_by_agreement,views,Memorija sjedišta,Klimatizacija,Bluetooth,Emisioni standard,Senzor kiše,Servisna knjiga,Svjetla,Pogon,El. podizači stakala,Masaža sjedišta,Oldtimer,display_price,ABS,Sjedećih mjesta,state,shipping,Boja,Registrovan,Servo volan,El. pomjeranje sjedišta,Tip,Touch screen (ekran),Turbo,Senzor auto. svjetla,USB port,Centralna brava,ESP,Maglenke,Park assist,Muzika/ozvučenje,Komande na volanu,Metalik,Naslon za ruku,Posjeduje gume,Start-Stop sistem,Prilagođen invalidima,Strane tablice,Šiber,Snaga motora (KW),Navigacija,Udaren,price,Parking kamera,Parking senzori,Konjskih snaga,Hlađenje sjedišta,Auto kuka,Head up display,Zaštita/Blokada,model_id,Garancija,Broj prethodnih vlasnika,Hill assist,Transmisija,brand,Car play,free_delivery,ISOFIX,Registrovan do,Broj stepeni prijenosa,Airbag,Panorama krov,Grijanje sjedišta,Tempomat,Senzor mrtvog ugla,Alu felge,Kilometraža,Rolo zavjese,Ocarinjen,model,Gorivo,Daljinsko otključavanje,Električni retrovizori,Godište,Broj vrata
False,1.6,True,False,Platno,False,3830,False,Dvozonska,False,Euro 5,False,True,Halogena,Prednji,True,False,False,True,True,5,used,no_shipping,Siva,True,True,False,Monovolumen,False,True,True,False,True,True,False,False,CD MP3,True,True,True,Zimske,False,False,False,False,82.0,False,False,11900.0,Nema,Nema,111.0,False,False,False,Električna blokada,311.0,0,1,False,Manuelni,Citroen,False,False,True,07/2024,6+R,True,False,False,True,False,True,216000.0,False,true,C4 Picasso,Dizel,True,True,2011,4/5
False,2.0,True,False,Platno,False,4361,False,Dvozonska,False,Euro 5,False,True,Halogena,Prednji,True,False,False,True,True,5,used,no_shipping,Siva,True,True,False,Karavan,False,True,False,False,True,True,False,False,CD MP3,True,True,True,Ljetne,False,False,False,False,88.0,True,False,14900.0,Nema,Nazad,120.0,False,True,False,Električna blokada,75.0,0,1,False,Manuelni,Audi,False,False,True,07/2024,6+R,True,False,False,False,False,True,227000.0,False,true,A4,Dizel,True,True,2009,4/5
True,1.5,True,True,Ostalo,False,800,False,Dvozonska,True,Euro 5,True,True,Halogena,Prednji,False,False,False,True,True,5,used,no_shipping,Zlatna,True,True,False,Limuzina,True,True,True,True,True,True,True,True,DVD MP3 plus LCD display,True,True,False,Ostalo,True,False,False,False,81.0,True,False,10950.0,Nema,Naprijed i nazad,140.0,False,False,False,Ostalo,1350.0,0,1,False,Manuelni,Renault,True,False,True,07/2024,6+R,True,False,False,True,True,False,271000.0,False,False,Megane,Dizel,True,True,2011,4/5
False,2.0,False,False,Platno,False,5288,False,Dvozonska,False,Euro 4,False,False,LED,Prednji,False,False,False,True,False,5,used,no_shipping,Crna,False,False,False,Limuzina,False,False,False,False,False,False,False,False,CD MP3 plus pojačalo,False,False,False,Ljetne i Zimske,False,False,False,False,147.0,False,False,10500.0,Nema,Nazad,140.0,False,False,False,Ostalo,75.0,0,1,False,Manuelni,Audi,False,False,False,07/2024,5+R,False,False,False,False,False,False,350000.0,False,False,A4,Benzin,False,False,2006,4/5
True,1.6,True,True,Platno,False,223,False,Dvozonska,False,Euro 5,False,True,LED,Prednji,True,False,False,True,True,5,used,no_shipping,Crvena,True,True,False,Limuzina,False,True,False,False,True,True,True,False,CD MP3,True,True,True,Ljetne,True,False,False,False,66.0,True,False,18900.0,Nema,Naprijed i nazad,90.0,False,False,False,Električna blokada,1587.0,0,1,True,Manuelni,Volkswagen,False,False,True,07/2024,6+R,True,False,False,True,False,False,204000.0,False,true,Golf,Dizel,True,True,2014,4/5
False,1.6,True,True,Platno,False,162,False,Dvozonska,False,Euro 4,True,False,Halogena,Prednji,True,False,False,True,True,5,used,no_shipping,Bijela,True,True,False,Limuzina,False,True,True,False,True,True,True,False,DVD MP3 plus LCD display,True,False,False,Ostalo,False,False,False,False,80.0,True,False,6800.0,Nema,Nema,110.0,False,False,False,Električna blokada,1256.0,0,1,False,Manuelni,Peugeot,False,False,True,01/2025,6+R,True,False,False,True,False,False,202000.0,False,true,308,Dizel,True,True,2009,4/5
False,2.0,True,True,Koža,False,311,True,Dvozonska,True,Euro 6,True,True,LED,Sva četiri,True,False,False,True,True,5,used,no_shipping,Bijela,True,True,True,SUV,True,True,True,True,True,True,True,False,DVD MP3 plus LCD display,True,True,True,Ostalo,True,False,False,True,145.0,True,False,104990.0,Zadnja,Naprijed i nazad,197.0,False,False,False,Ostalo,1661.0,0,1,True,Automatik,Volvo,True,False,True,07/2024,6+R,True,True,True,True,True,True,19339.0,False,false,XC 60,Dizel,True,True,2023,4/5
True,1.6,True,False,Ostalo,False,873,False,Dvozonska,False,Euro 5,True,True,LED,Prednji,True,False,False,True,True,5,used,no_shipping,Siva,False,True,False,Limuzina,False,True,True,False,True,True,True,True,DVD MP3 plus LCD display,False,True,True,Ljetne i Zimske,False,False,False,False,105.0,False,False,12400.0,Nema,Naprijed i nazad,105.0,False,True,False,Ostalo,1587.0,0,1,False,Manuelni,Volkswagen,False,False,True,07/2024,6+R,True,False,True,False,False,True,233000.0,False,true,Golf,Dizel,True,False,2010,4/5
False,1.2,False,False,Ostalo,False,62,False,Jednozonska,False,Euro 5,True,True,LED,Prednji,True,False,False,True,True,5,used,no_shipping,Crvena,False,True,False,Limuzina,False,False,True,False,True,True,False,False,CD MP3,False,False,False,Ljetne,False,False,False,False,55.0,False,False,6700.0,Nema,Nema,140.0,False,False,False,Ostalo,1351.0,0,1,False,Manuelni,Renault,False,False,True,07/2024,5+R,True,False,False,False,False,False,184000.0,False,true,Modus,Benzin,True,False,2011,4/5
False,3.0,True,True,Koža,False,608,True,Dvozonska,True,Euro 6,True,True,LED,Sva četiri,True,False,False,True,True,5,used,no_shipping,Bijela,True,True,True,SUV,True,True,True,True,True,True,True,True,DVD MP3 plus LCD display,True,True,True,Ostalo,True,False,False,True,287.0,True,False,124990.0,Kamera 360,Naprijed i nazad,390.0,False,False,True,Ostalo,1886.0,0,1,True,Automatik,Mercedes-Benz,True,False,True,07/2024,6+R,True,False,True,True,True,True,80636.0,False,false,GLC 43 AMG,Benzin,True,True,2019,4/5
True,1.6,True,True,Platno,False,331,False,Dvozonska,True,Euro 5,True,True,Halogena,Prednji,True,False,False,True,True,5,used,no_shipping,Bijela,False,True,False,Karavan,True,True,True,True,True,True,True,False,DVD MP3 plus LCD display,True,True,True,Ljetne,False,False,False,False,77.0,True,False,17900.0,Nema,Nema,105.0,False,False,False,Ostalo,1450.0,0,1,True,Automatik,Škoda,False,False,True,07/2024,7+R,True,False,False,True,False,True,238000.0,True,true,Octavia,Dizel,True,True,2013,4/5
False,2.7,True,False,Koža,False,2468,False,Četverozonska,False,Euro 5,True,True,LED,Prednji,True,False,False,True,True,5,used,no_shipping,Crna,False,True,False,Limuzina,False,True,True,False,True,True,True,False,DVD MP3 plus LCD display,True,False,True,Ostalo,False,False,False,False,140.0,True,False,17500.0,Nema,Naprijed i nazad,140.0,False,False,False,Ostalo,78.0,0,1,False,Automatik,Audi,False,False,False,07/2024,7+R,True,False,True,True,False,True,235252.0,False,true,A6,Dizel,True,False,2010,4/5
True,1.6,True,False,Koža i alkantara,False,2842,False,Dvozonska,False,Euro 5,True,True,LED,Prednji,True,True,False,True,True,5,used,no_shipping,Crna,True,True,True,Karavan,True,True,True,False,True,True,False,True,DVD MP3 plus LCD display,True,True,True,Ljetne,True,False,False,False,77.0,False,False,12999.0,Nema,Naprijed i nazad,105.0,False,False,False,Električna+mehanička,1596.0,0,1,False,Manuelni,Volkswagen,False,False,True,02/2025,6+R,True,False,True,True,True,True,299000.0,True,true,Passat,Dizel,True,False,2011,4/5
False,1.2,True,True,Platno,False,1471,False,Jednozonska,False,Euro 5,False,True,LED,Prednji,True,False,False,True,True,5,used,no_shipping,Bijela,False,True,False,Malo auto,False,False,False,True,True,True,True,False,CD MP3,False,True,True,Ostalo,False,False,False,False,60.0,False,False,11500.0,Nema,Nema,140.0,False,False,False,Ostalo,317.0,0,1,False,Manuelni,Citroen,True,False,False,07/2024,5+R,True,False,False,True,False,False,98295.0,False,False,DS3,Benzin,True,True,2014,2/3
True,2.0,True,True,Koža,False,385,False,Dvozonska,True,Euro 5,True,True,Xenon,Prednji,True,False,False,True,True,5,used,no_shipping,Siva,True,True,False,Limuzina,False,True,False,False,True,True,True,True,CD MP3,True,True,True,Ljetne,True,False,False,False,120.0,True,False,27900.0,Nema,Naprijed i nazad,160.0,False,False,False,Električna blokada,77.0,0,1,False,Manuelni,Audi,False,False,True,07/2024,6+R,True,False,True,True,False,True,210000.0,True,false,A5,Dizel,True,True,2013,4/5
True,3.0,True,True,Koža,False,11115,True,Četverozonska,False,Euro 6,False,True,LED,Sva četiri,True,True,False,True,True,5,used,no_shipping,Crna,True,True,True,SUV,True,True,True,False,True,True,False,True,DVD MP3 plus LCD display,True,True,True,Ljetne i Zimske,True,False,False,True,225.0,True,False,79900.0,Zadnja,Naprijed i nazad,306.0,True,False,False,Električna blokada,731.0,0,1,False,Automatik,Land Rover,False,False,True,12/2024,7+R,True,True,True,True,True,True,139000.0,True,true,Range Rover Sport,Dizel,True,True,2015,4/5
